State,Date,zori,cpi,property_tax,population,property_crime,burglary,larceny,motor_vehicle_theft,gdp,personal_consumption,personal_income,unemployment_rates,house_price_index,housing_units
AL,2015-02-01,757.2993948284495,234.722,531.469599,4853875.0,144785.0,35265.0,99182.0,10338.0,189878.6,152755.9,187220200000.0,6.1000000000000005,355.3,886000.0
AL,2015-03-01,760.7885628382704,236.119,531.469599,4853875.0,144785.0,35265.0,99182.0,10338.0,189878.6,152755.9,187220200000.0,6.1000000000000005,355.3,960000.0
AL,2015-04-01,765.7625253615188,236.599,531.469599,4853875.0,144785.0,35265.0,99182.0,10338.0,191535.8,152755.9,188690900000.0,6.1000000000000005,355.3,1190000.0
AL,2015-05-01,764.7616108826415,237.805,531.469599,4853875.0,144785.0,35265.0,99182.0,10338.0,191535.8,152755.9,188690900000.0,6.1000000000000005,360.36,1079000.0
AL,2015-06-01,770.7671178863731,238.63800000000003,531.469599,4853875.0,144785.0,35265.0,99182.0,10338.0,191535.8,152755.9,188690900000.0,6.2,360.36,1205000.0
AL,2015-07-01,780.7774581322597,238.654,531.469599,4853875.0,144785.0,35265.0,99182.0,10338.0,192148.5,152755.9,190223300000.0,6.2,360.36,1146000.0
AL,2015-08-01,784.249879447711,238.316,531.469599,4853875.0,144785.0,35265.0,99182.0,10338.0,192148.5,152755.9,190223300000.0,6.2,363.27,1130000.0
AL,2015-09-01,787.9666608205578,237.945,531.469599,4853875.0,144785.0,35265.0,99182.0,10338.0,192148.5,152755.9,190223300000.0,6.1000000000000005,363.27,1224000.0
AL,2015-10-01,786.425754156632,237.838,531.469599,4853875.0,144785.0,35265.0,99182.0,10338.0,191778.0,152755.9,190327500000.0,6.1000000000000005,363.27,1058000.0
AL,2015-11-01,788.9722202068573,237.336,531.469599,4853875.0,144785.0,35265.0,99182.0,10338.0,191778.0,152755.9,190327500000.0,6.1000000000000005,366.62,1172000.0
AL,2015-12-01,792.4693276992963,236.525,531.469599,4853875.0,144785.0,35265.0,99182.0,10338.0,191778.0,152755.9,190327500000.0,6.1000000000000005,366.62,1146000.0
AL,2016-01-01,795.7651133233726,236.91599999999997,548.279874,4860545.0,143259.0,34045.0,97498.0,11716.0,193112.6,157119.9,191242800000.0,6.1000000000000005,366.62,1092000.0
AL,2016-02-01,795.3749956553306,237.111,548.279874,4860545.0,143259.0,34045.0,97498.0,11716.0,193112.6,157119.9,191242800000.0,6.0,373.5,1225000.0
AL,2016-03-01,796.5147755233477,238.13199999999998,548.279874,4860545.0,143259.0,34045.0,97498.0,11716.0,193112.6,157119.9,191242800000.0,6.0,373.5,1111000.0
AL,2016-04-01,800.6290182176115,239.261,548.279874,4860545.0,143259.0,34045.0,97498.0,11716.0,194227.5,157119.9,191888100000.0,5.9,373.5,1163000.0
AL,2016-05-01,807.4303731927763,240.22899999999998,548.279874,4860545.0,143259.0,34045.0,97498.0,11716.0,194227.5,157119.9,191888100000.0,5.9,380.14,1148000.0
AL,2016-06-01,816.5828486210384,241.018,548.279874,4860545.0,143259.0,34045.0,97498.0,11716.0,194227.5,157119.9,191888100000.0,5.9,380.14,1203000.0
AL,2016-07-01,821.8767341211981,240.628,548.279874,4860545.0,143259.0,34045.0,97498.0,11716.0,194380.5,157119.9,192446500000.0,5.9,380.14,1239000.0
AL,2016-08-01,829.2972840250972,240.849,548.279874,4860545.0,143259.0,34045.0,97498.0,11716.0,194380.5,157119.9,192446500000.0,5.9,383.12,1171000.0
AL,2016-09-01,834.6550580638864,241.428,548.279874,4860545.0,143259.0,34045.0,97498.0,11716.0,194380.5,157119.9,192446500000.0,5.9,383.12,1068000.0
AL,2016-10-01,832.6575589534286,241.72899999999998,548.279874,4860545.0,143259.0,34045.0,97498.0,11716.0,195414.6,157119.9,193876400000.0,5.9,383.12,1313000.0
AL,2016-11-01,832.476699129538,241.353,548.279874,4860545.0,143259.0,34045.0,97498.0,11716.0,195414.6,157119.9,193876400000.0,5.8,385.94,1140000.0
AL,2016-12-01,834.0679196781515,241.432,548.279874,4860545.0,143259.0,34045.0,97498.0,11716.0,195414.6,157119.9,193876400000.0,5.7,385.94,1252000.0
AL,2017-01-01,837.405662846898,242.83899999999997,582.1893837,4875120.0,143774.0,31270.0,99707.0,12797.0,196746.6,163367.8,196920400000.0,5.5,385.94,1190000.0
AL,2017-02-01,842.4973805733357,243.603,582.1893837,4875120.0,143774.0,31270.0,99707.0,12797.0,196746.6,163367.8,196920400000.0,5.2,394.58,1271000.0
AL,2017-03-01,847.8982020453872,243.801,582.1893837,4875120.0,143774.0,31270.0,99707.0,12797.0,196746.6,163367.8,196920400000.0,5.0,394.58,1190000.0
AL,2017-04-01,855.9771248015167,244.52399999999997,582.1893837,4875120.0,143774.0,31270.0,99707.0,12797.0,197019.30000000002,163367.8,198525000000.0,4.8,394.58,1146000.0
AL,2017-05-01,856.507961295755,244.733,582.1893837,4875120.0,143774.0,31270.0,99707.0,12797.0,197019.30000000002,163367.8,198525000000.0,4.6,400.67,1157000.0
AL,2017-06-01,861.9628107103915,244.955,582.1893837,4875120.0,143774.0,31270.0,99707.0,12797.0,197019.30000000002,163367.8,198525000000.0,4.4,400.67,1249000.0
AL,2017-07-01,869.1723733939195,244.78600000000003,582.1893837,4875120.0,143774.0,31270.0,99707.0,12797.0,197409.4,163367.8,199752500000.0,4.3,400.67,1206000.0
AL,2017-08-01,879.8346718843826,245.51900000000003,582.1893837,4875120.0,143774.0,31270.0,99707.0,12797.0,197409.4,163367.8,199752500000.0,4.2,404.0,1159000.0
AL,2017-09-01,884.3408770391438,246.81899999999996,582.1893837,4875120.0,143774.0,31270.0,99707.0,12797.0,197409.4,163367.8,199752500000.0,4.1,404.0,1181000.0
AL,2017-10-01,887.5320794011433,246.663,582.1893837,4875120.0,143774.0,31270.0,99707.0,12797.0,199091.19999999998,163367.8,202147700000.0,4.0,404.0,1257000.0
